Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
ranmor 1 11244
instruksikan 1 11248
razia 1 11252
plat 1 11256
disamp 1 11260
patroli 1 11264
setiap 1 11268
memarkir 1 11272
pengamanan 1 11276
ganda 1 11280
ungkap 1 11284
aktif 1 11288
bentuk 1 11292
menjaga 1 11296
sedini 1 11300
mungkin 1 11304
diyakini 1 11308
pencegahan 1 11312
semakin 1 11316
diharapkan 1 11320
meminimalisir 1 11324
geng 1 11328
klewang 1 11332
hermansyah 1 11336
dipimpin 1 11340
berafiliasi 1 11344
organisasi 1 11348
partai 1 11352
tertentu 1 11356
pimpinan 1 11360
bukan 1 11364
peliharaan 1 11368
sebenarnya 1 11372
menargetkan 1 11376
asli 1 11380
mardijo 1 11384
berumur 1 11388
pemerkosaan 1 11392
mencuat 1 11396
mei 1 11400
ditahan 1 11404
mapolresta 1 11408
pemilahan 1 11412
bawah 1 11416
umur 1 11420
teru 1 11424
